carIndex,make,model,reg,colour,miles,price,dealer,town,telephone,description,region
264,VW,Polo,P,red,46000,3499,Acme Autos,Colchester,01206 452345,3 door,E
265,VW,Golf,N,green,57000,2899,Acme Autos,Colchester,01206 452345,VGC,E
266,VW,Polo,L,silver,58000,3450,University Motors,Cambridge,01223 768956,aircon,C
267,Peugeot,205 XE,P,blue,51000,4400,University Motors,Cambridge,01223 768956,MOT,C
268,Peugeot,306 XL,N,white,62000,4650,Smith Autos,Cambridge,01223 654318,MOT,C
269,Peugeot,205 D,R,red,103000,15500,Station Cars,Manchester,01617 453678,VGC,N
270,Peugeot,205 GTI,S,green,93000,13500,Station Cars,Manchester,1618 453678,MOT,NW
271,Peugeot,405 GT,L,silver,21000,14500,Smith Autos,Cambridge,01223 654318,VGC,C
272,Peugeot,605 XS,K,blue,17000,12500,Smith Autos,Cambridge,01223 654318,aircon,C
273,Peugeot,306 XD,K,grey,14000,9999,Wrights Quality Cars,Liverpool,01514 567843,MOT,NW
274,Peugeot,505 L,L,red,88000,3500,Wrights Quality Cars,Liverpool,01514 567843,aircon,NW
275,Peugeot,106 XL,P,blue,82000,3550,Wrights Quality Cars,Liverpool,01514 567843,VGC,NW
276,Mercedes,E320,N,white,49000,4500,Acme Autos,Colchester,01206 452345,MOT,E
277,Mercedes,Kompressor,R,green,40000,2550,Acme Autos,Colchester,01206 452345,MOT,E
278,Mercedes,SL300,S,yellow,16000,3999,Nixons Used Autos,Liverpool,01514 561235,3 door,NW
279,Mercedes,SL500,S,red,13000,2550,Nixons Used Autos,Liverpool,01514 561235,VGC,NW
280,Mercedes,A200,R,pink,77000,995,Nixons Used Autos,Liverpool,01514 561235,MOT,NW
281,Mercedes,C320,P,white,53000,7500,Nixons Used Autos,Liverpool,01514 561235,VGC,NW
282,Mercedes,C220,L,grey,73000,850,Nippon Sales,Maldon,01621 456324,MOT,E
283,Peugeot,205 XE,M,red,89000,899,Nippon Sales,Maldon,01621 456324,VGC,E
284,Peugeot,306 XL,L,red,97000,2000,Nippon Sales,Maldon,01621 456324,VGC,E
285,Peugeot,205 D,K,white,12000,1050,The Car Shop,Chester,01344 768970,Lady owner,NW
286,Peugeot,205 GTI,H,blue,19000,1850,Frank's Car Sales,Stockton,01677 434210,FSH,NE
287,Peugeot,405 GT,G,grey,10000,2000,Car-U-Like,Portsmouth,01233 872222,Stereo,S
288,Peugeot,605 XS,H,red,94000,2100,Wheels of Croydon,Croydon,0181 788 5333,1 owner,S
289,Peugeot,306 XD,K,blue,8500,300,Bristol Motors,Bristol,0117 455 3211,Any trial,W
290,Peugeot,505 L,L,white,22500,550,McGovern's Cars,Glasgow,0141 544 9519,Used daily,N
291,Peugeot,106 XL,P,green,35500,450,Reliable Harry's,Clapham,0171 556 3288,T&T,S
292,BMW,323i,R,yellow,12500,999,Dalton Car Sales,Middlesbrough,01155 545889,Radio,NE
294,BMW,840 SE,S,pink,22500,12500,Prestige Vehicles,Edinburgh,0131 766 4521,Used daily,N
296,BMW,728i,S,grey,12400,15500,Nippon Sales,Maldon,01621 456324,Radio,E
297,BMW,740i,N,red,26500,1500,The Car Shop,Chester,01344 768970,VGC,NW
298,BMW,540i,N,red,32500,2500,Frank's Car Sales,Stockton,01677 434210,MOT,NE
299,BMW,735 SE,N,white,24500,1750,Car-U-Like,Portsmouth,01233 872222,VGC,S
300,BMW,730 SE,P,blue,95500,899,Wheels of Croydon,Croydon,0181 788 5333,MOT,S
301,BMW,525 SE,M,black,45600,750,Bristol Motors,Bristol,0117 455 3211,VGC,W
302,BMW,316,M,green,55700,750,McGovern's Cars,Glasgow,0141 544 9519,VGC,N
303,BMW,316,S,black,33000,799,Reliable Harry's,Clapham,0171 556 3288,5-door,S
304,BMW,316,R,red,23000,12999,Dalton Car Sales,Middlesbrough,01155 545889,Immac,NE
306,BMW,316,C,blue,65500,6799,Prestige Vehicles,Edinburgh,0131 766 4521,Lady owner,N
308,Alfa Romeo,33,F,pale blue,26500,3299,Nippon Sales,Maldon,01621 456324,Stereo,E
309,Alfa Romeo,33,G,blue,32500,1599,The Car Shop,Chester,01344 768970,1 owner,NW
310,Alfa Romeo,33,H,grey,24500,17899,Frank's Car Sales,Stockton,01677 434210,Any trial,NE
311,Alfa Romeo,33,J,yellow,95500,7899,Car-U-Like,Portsmouth,01233 872222,Used daily,S
312,Alfa Romeo,164,J,black,45600,3499,Wheels of Croydon,Croydon,0181 788 5333,T&T,S
313,Alfa Romeo,164,K,red,55700,6299,Bristol Motors,Bristol,0117 455 3211,Radio,W
314,Alfa Romeo,164,L,grey,33000,1699,McGovern's Cars,Glasgow,0141 544 9519,VGC,N
315,Honda,Accord,K,blue,23000,18499,Reliable Harry's,Clapham,0171 556 3288,VGC,S
316,Honda,Accord,L,pink,15000,6499,Dalton Car Sales,Middlesbrough,01155 545889,5-door,NE
318,Honda,Accord,N,yellow,45000,1250,Prestige Vehicles,Edinburgh,0131 766 4521,MOT,N
320,Honda,Civic,S,grey,109000,8225,Nippon Sales,Maldon,01621 456324,FSH,E
321,Honda,Civic,S,green,98000,6199,The Car Shop,Chester,01344 768970,Stereo,NW
322,Honda,Civic,R,green,34000,7799,Frank's Car Sales,Stockton,01677 434210,1 owner,NE
323,Fiat,Uno,P,white,45000,3425,Car-U-Like,Portsmouth,01233 872222,Any trial,S
324,Fiat,Uno,G,red,23000,4500,Wheels of Croydon,Croydon,0181 788 5333,Used daily,S
325,Fiat,Uno,L,blue,109000,5699,Bristol Motors,Bristol,0117 455 3211,T&T,W
326,Fiat,Uno,M,red,98000,8275,McGovern's Cars,Glasgow,0141 544 9519,Radio,N
327,Fiat,Tipo,R,blue,34000,6675,Reliable Harry's,Clapham,0171 556 3288,Any trial,S
328,Fiat,Tipo,S,white,45000,2380,Dalton Car Sales,Middlesbrough,01155 545889,Used daily,NE
330,Fiat,Tipo,L,yellow,109000,8600,Prestige Vehicles,Edinburgh,0131 766 4521,Radio,N
332,Fiat,Panda,R,pink,34000,6200,Nippon Sales,Maldon,01621 456324,Very fast,E
333,Fiat,Panda,S,white,56000,125,The Car Shop,Chester,01344 768970,Alloys,NW
334,Fiat,Panda,G,grey,34000,790,Frank's Car Sales,Stockton,01677 434210,MOT,NE
335,Fiat,Panda,L,red,44000,12999,Car-U-Like,Portsmouth,01233 872222,MOT,S
336,Fiat,Panda,M,blue,55000,4500,Wheels of Croydon,Croydon,0181 788 5333,VGC,S
337,Nissan,Primera,R,white,66000,3299,Bristol Motors,Bristol,0117 455 3211,MOT,W
338,Nissan,Primera,S,green,34000,830,McGovern's Cars,Glasgow,0141 544 9519,VGC,N
339,Nissan,Primera,R,yellow,56000,1299,Reliable Harry's,Clapham,0171 556 3288,aircon,S
340,Nissan,Bluebird,S,red,34000,34000,Dalton Car Sales,Middlesbrough,01155 545889,MOT,NE
342,Nissan,Bluebird,L,white,55000,3499,Prestige Vehicles,Edinburgh,0131 766 4521,VGC,N
344,Nissan,Sunny,P,red,23000,3450,Nippon Sales,Maldon,01621 456324,MOT,E
345,Nissan,Sunny,G,blue,34000,4400,The Car Shop,Chester,01344 768970,3 door,NW
346,Nissan,Sunny,R,white,33000,4650,Frank's Car Sales,Stockton,01677 434210,VGC,NE
347,Landrover,Discovery,S,green,39000,15500,Car-U-Like,Portsmouth,01233 872222,MOT,S
348,VW,Passat,S,yellow,41000,13500,Wheels of Croydon,Croydon,0181 788 5333,VGC,S
349,Jaguar,XJS,R,red,42000,14500,Bristol Motors,Bristol,0117 455 3211,VGC,W
350,Toyota,Landcruiser,R,pink,46000,12500,McGovern's Cars,Glasgow,0141 544 9519,aircon,N
351,Mercedes,E220,R,white,57000,9999,Reliable Harry's,Clapham,0171 556 3288,aircon,S
352,Landrover,Discovery,P,grey,58000,3500,Dalton Car Sales,Middlesbrough,01155 545889,VGC,NE
354,Jaguar,XJS,L,blue,62000,4500,Prestige Vehicles,Edinburgh,0131 766 4521,3 door,N
356,Mercedes,E220,N,green,93000,3999,Wrights Quality Cars,Liverpool,01514 567843,VGC,NW
357,Landrover,Discovery,R,yellow,21000,2550,Nixons Used Autos,Liverpool,01514 561235,aircon,NW
358,VW,Passat,S,red,17000,995,Daves Used Cars,Gravesend,01474 876098,MOT,SE
359,Jaguar,XJS,L,pink,14000,7500,Wrights Quality Cars,Liverpool,01514 567843,MOT,NW
360,Toyota,Landcruiser,K,white,88000,850,Nixons Used Autos,Liverpool,01514 561235,VGC,NW
361,Mercedes,E220,K,grey,82000,899,Daves Used Cars,Gravesend,01474 876098,MOT,SE
362,Landrover,Series I,L,red,49000,2000,Wrights Quality Cars,Liverpool,01514 567843,VGC,NW
363,VW,Sirocco,P,blue,40000,1050,Nixons Used Autos,Liverpool,01514 561235,aircon,NW
364,Jaguar,XJ6,N,white,16000,1850,Acme Autos,Colchester,01206 452345,MOT,E
365,Toyota,Previa,R,green,13000,2000,Acme Autos,Colchester,01206 452345,aircon,E
366,Mercedes,SL500,S,yellow,77000,2100,University Motors,Cambridge,01223 768956,VGC,C
367,Daewoo,Subina,S,red,53000,300,University Motors,Cambridge,01223 768956,MOT,C
368,BMW,328i,R,pink,73000,550,Smith Autos,Cambridge,01223 654318,MOT,C
369,Fiat,Punto,P,white,89000,450,Weldit Used Cars,Inverness,01463 741514,3 door,N
370,Rover,Vitesse,L,grey,97000,999,Tidy Cars,Peterborough,01733 231456,VGC,E
371,Austin,Montego,M,red,12000,899,Hudson Used Cars,Clacton on Sea,01255 423161,MOT,E
372,Daewoo,Subina,L,blue,19000,12500,Bodgit Quality Cars,Southport,01704 567854,VGC,NW
373,BMW,328i,K,white,10000,13500,Weldit Used Cars,Inverness,01463 741514,VGC,N
374,Fiat,Punto,H,green,94000,15500,Tidy Cars,Peterborough,01733 231456,VGC,E
375,Rover,3500i,G,yellow,39000,1500,Hudson Used Cars,Clacton on Sea,01255 423161,3 door,E
376,Austin,Montego,H,red,41000,2500,Bodgit Quality Cars,Southport,01704 567854,3 door,NW
377,Daewoo,Subina,K,pink,42000,1750,Port Erin,Isle of Man,01624 453678,3 door,NW
378,BMW,525i,L,white,46000,899,Weldit Used Cars,Inverness,01463 741514,VGC,N
379,Fiat,Punto,P,grey,57000,750,Tidy Cars,Peterborough,01733 231456,aircon,E
380,Rover,Vitesse,R,red,58000,750,Hudson Used Cars,Clacton on Sea,01255 423161,MOT,E
381,Austin,Metro,R,blue,51000,799,Bodgit Quality Cars,Southport,01704 567854,MOT,NW
382,Daewoo,Subina,S,white,62000,12999,Fixitt Car Dealers,Portree,01478 576894,VGC,N
383,BMW,728 SE,S,green,103000,1299,Tidy Cars,Peterborough,01733 231456,MOT,E
384,Fiat,Punto,S,yellow,93000,6799,Tidy Cars,Peterborough,01733 231456,VGC,E
385,Rover,3500i,N,red,21000,5499,Fixitt Car Dealers,Portree,01478 576894,aircon,N
386,Austin,Montego,N,pink,17000,3299,Hudson Used Cars,Clacton on Sea,01255 423161,MOT,E
387,Daewoo,Subina,N,white,14000,1599,Off Road Sales,Torquay,01803 323014,aircon,W
388,BMW,525i,P,grey,88000,17899,Rook Used Cars,Exeter,01392 460753,VGC,SW
389,Fiat,Punto,M,red,82000,7899,Rook Used Cars,Exeter,01392 460753,MOT,SW
390,Rover,Vitesse,M,blue,49000,3499,Sports Cars,Nottingham,01158 678954,MOT,C
391,Austin,Metro,S,white,40000,6299,Sports Cars,Nottingham,01158 678954,3 door,C
392,Datsun,Sunny,R,green,16000,1699,Daves Used Cars,Gravesend,01474 876098,VGC,SE
393,Vauxhall,Astra,R,yellow,13000,18499,Wrights Quality Cars,Liverpool,01514 567843,MOT,NW
394,Nissan,Primera,C,red,77000,6499,Nixons Used Autos,Liverpool,01514 561235,VGC,NW
395,Nissan,Micra,D,pink,53000,8399,Daves Used Cars,Gravesend,01474 876098,VGC,SE
396,Volvo,V70,F,white,73000,1250,Wrights Quality Cars,Liverpool,01514 567843,aircon,NW
397,Nissan,Cherry,G,grey,89000,7525,Nixons Used Autos,Liverpool,01514 561235,aircon,NW
398,Mazda,323i,H,red,97000,8225,Daves Used Cars,Gravesend,01474 876098,VGC,SE
399,Mazda,MR2,J,blue,12000,6199,Wrights Quality Cars,Liverpool,01514 567843,3 door,NW
400,MG,Midget,J,white,19000,7799,Nixons Used Autos,Liverpool,01514 561235,3 door,NW
401,MG,Metro,K,green,10000,3425,Acme Autos,Colchester,01206 452345,3 door,E
402,MG,Roadster,L,yellow,94000,4500,Acme Autos,Colchester,01206 452345,VGC,E
403,Bentley,Mulsanne,K,red,39000,5699,University Motors,Cambridge,01223 768956,aircon,C
404,Bentley,Turbo,L,pink,41000,8275,University Motors,Cambridge,01223 768956,MOT,C
405,Vauxhall,Cavalier,P,white,42000,6675,Smith Autos,Cambridge,01223 654318,MOT,C
406,Vauxhall,Astra,N,grey,46000,2380,Station Cars,Manchester,01617 453678,VGC,N
407,Vauxhall,Carlton,R,red,57000,75,Station Cars,Manchester,1618 453678,MOT,NW
408,Vauxhall,Omega,S,blue,58000,8600,Smith Autos,Cambridge,01223 654318,VGC,C
409,Vauxhall,Frontera,S,white,51000,25,Smith Autos,Cambridge,01223 654318,aircon,C
410,Vauxhall,Nova,R,green,62000,6200,Wrights Quality Cars,Liverpool,01514 567843,MOT,NW
411,Vauxhall,Tigre,P,yellow,103000,125,Wrights Quality Cars,Liverpool,01514 567843,aircon,NW
412,Vauxhall,Cavalier,G,red,93000,790,Wrights Quality Cars,Liverpool,01514 567843,VGC,NW
413,Vauxhall,Vectra,L,pink,21000,12999,Acme Autos,Colchester,01206 452345,MOT,E
414,Vauxhall,Senator,M,white,17000,4500,Acme Autos,Colchester,01206 452345,MOT,E
415,Vauxhall,Vectra,R,grey,14000,3299,Nixons Used Autos,Liverpool,01514 561235,3 door,NW
416,Vauxhall,Astra,S,red,88000,830,Nixons Used Autos,Liverpool,01514 561235,VGC,NW
417,Vauxhall,Astra,G,blue,82000,1299,Nixons Used Autos,Liverpool,01514 561235,MOT,NW
418,Nissan,Primera,L,white,49000,34000,Nixons Used Autos,Liverpool,01514 561235,VGC,NW
419,Nissan,Micra,M,green,40000,5600,Nippon Sales,Maldon,01621 456324,MOT,E
420,Volvo,V70,R,yellow,16000,3499,Nippon Sales,Maldon,01621 456324,VGC,E
421,Nissan,Cherry,S,red,13000,2899,Nippon Sales,Maldon,01621 456324,VGC,E
422,Mazda,323i,G,pink,77000,3450,The Car Shop,Chester,01344 768970,Lady owner,NW
423,Mazda,MR2,L,white,53000,4400,Frank's Car Sales,Stockton,01677 434210,FSH,NE
424,MG,Midget,M,grey,73000,4650,Car-U-Like,Portsmouth,01233 872222,Stereo,S
425,MG,Metro,R,red,89000,15500,Wheels of Croydon,Croydon,0181 788 5333,1 owner,S
426,MG,Roadster,S,blue,97000,13500,Bristol Motors,Bristol,0117 455 3211,Any trial,W
427,Bentley,Mulsanne,R,white,12000,14500,McGovern's Cars,Glasgow,0141 544 9519,Used daily,N
428,Bentley,Turbo,S,green,19000,12500,Reliable Harry's,Clapham,0171 556 3288,T&T,S
429,Vauxhall,Cavalier,G,yellow,10000,9999,Dalton Car Sales,Middlesbrough,01155 545889,Radio,NE
431,Vauxhall,Carlton,M,pink,39000,3550,Prestige Vehicles,Edinburgh,0131 766 4521,Used daily,N
433,Vauxhall,Frontera,G,grey,42000,2550,Nippon Sales,Maldon,01621 456324,Radio,E
434,Vauxhall,Nova,R,red,46000,3999,The Car Shop,Chester,01344 768970,VGC,NW
435,Vauxhall,Tigre,S,blue,57000,2550,Frank's Car Sales,Stockton,01677 434210,MOT,NE
436,Vauxhall,Cavalier,S,white,58000,995,Car-U-Like,Portsmouth,01233 872222,VGC,S
437,Vauxhall,Vectra,R,green,51000,7500,Wheels of Croydon,Croydon,0181 788 5333,MOT,S
438,Vauxhall,Senator,R,yellow,62000,850,Bristol Motors,Bristol,0117 455 3211,VGC,W
439,Vauxhall,Vectra,R,red,103000,899,McGovern's Cars,Glasgow,0141 544 9519,VGC,N
440,Vauxhall,Astra,P,pink,93000,2000,Reliable Harry's,Clapham,0171 556 3288,5-door,S
441,Vauxhall,Astra,N,white,21000,1050,Dalton Car Sales,Middlesbrough,01155 545889,Immac,NE
443,VW,Jetta,P,red,14000,2000,Prestige Vehicles,Edinburgh,0131 766 4521,Lady owner,N
445,VW,Golf,R,white,82000,300,Nippon Sales,Maldon,01621 456324,Stereo,E
446,VW,Polo,S,blue,49000,550,The Car Shop,Chester,01344 768970,1 owner,NW
447,VW,Golf,L,lemon,40000,450,Frank's Car Sales,Stockton,01677 434210,Any trial,NE
448,VW,Polo,K,orange,16000,999,Car-U-Like,Portsmouth,01233 872222,Used daily,S
449,Renault,Megane,K,green,13000,899,Wheels of Croydon,Croydon,0181 788 5333,T&T,S
450,Renault,Clio,L,silver,77000,12500,Bristol Motors,Bristol,0117 455 3211,Radio,W
451,Renault,Safrane,P,blue,53000,13500,McGovern's Cars,Glasgow,0141 544 9519,VGC,N
452,Renault,Laguna,N,white,73000,15500,Reliable Harry's,Clapham,0171 556 3288,VGC,S
453,Renault,Clio,R,red,89000,1500,Dalton Car Sales,Middlesbrough,01155 545889,5-door,NE
455,Renault,Clio,S,silver,12000,1750,Prestige Vehicles,Edinburgh,0131 766 4521,MOT,N
457,Renault,Laguna,P,white,10000,750,Nippon Sales,Maldon,01621 456324,FSH,E
458,Renault,Clio,L,red,94000,750,The Car Shop,Chester,01344 768970,Stereo,NW
459,VW,Golf,M,green,8500,799,Frank's Car Sales,Stockton,01677 434210,1 owner,NE
460,VW,Jetta,L,silver,22500,12999,Car-U-Like,Portsmouth,01233 872222,Any trial,S
461,VW,Passat,K,blue,35500,1299,Wheels of Croydon,Croydon,0181 788 5333,Used daily,S
462,VW,Golf,H,white,12500,6799,Bristol Motors,Bristol,0117 455 3211,T&T,W
463,VW,Polo,G,red,12000,5499,McGovern's Cars,Glasgow,0141 544 9519,Radio,N
464,VW,Golf,H,black,22500,3299,Reliable Harry's,Clapham,0171 556 3288,Any trial,S
465,VW,Polo,K,bronze,65500,1599,Dalton Car Sales,Middlesbrough,01155 545889,Used daily,NE
467,Peugeot,306 XL,P,orange,26500,7899,Prestige Vehicles,Edinburgh,0131 766 4521,Radio,N
469,Peugeot,205 GTI,R,red,24500,6299,Nippon Sales,Maldon,01621 456324,Very fast,E
470,Peugeot,405 GT,S,green,95500,1699,The Car Shop,Chester,01344 768970,Alloys,NW
471,Peugeot,605 XS,S,silver,45600,18499,Frank's Car Sales,Stockton,01677 434210,MOT,NE
472,Peugeot,306 XD,S,blue,55700,6499,Car-U-Like,Portsmouth,01233 872222,MOT,S
473,Peugeot,505 L,N,white,33000,8399,Wheels of Croydon,Croydon,0181 788 5333,VGC,S
474,Peugeot,106 XL,N,blue,23000,1250,Bristol Motors,Bristol,0117 455 3211,MOT,W
475,Mercedes,E320,N,lemon,15000,7525,McGovern's Cars,Glasgow,0141 544 9519,VGC,N
476,Mercedes,Kompressor,P,orange,65500,8225,Reliable Harry's,Clapham,0171 556 3288,aircon,S
477,Mercedes,SL300,M,green,12400,6199,Dalton Car Sales,Middlesbrough,01155 545889,MOT,NE
479,Mercedes,A200,S,blue,32500,3425,Prestige Vehicles,Edinburgh,0131 766 4521,VGC,N
481,Mercedes,C220,R,red,95500,5699,Nippon Sales,Maldon,01621 456324,MOT,E
482,Peugeot,205 XE,C,green,45600,8275,The Car Shop,Chester,01344 768970,3 door,NW
483,Peugeot,306 XL,D,silver,55700,6675,Frank's Car Sales,Stockton,01677 434210,VGC,NE
484,Peugeot,205 D,F,blue,33000,2380,Car-U-Like,Portsmouth,01233 872222,MOT,S
485,Peugeot,205 GTI,G,white,23000,75,Wheels of Croydon,Croydon,0181 788 5333,VGC,S
486,Peugeot,405 GT,H,red,15000,8600,Bristol Motors,Bristol,0117 455 3211,VGC,W
487,Peugeot,605 XS,J,green,76900,25,McGovern's Cars,Glasgow,0141 544 9519,aircon,N
488,Peugeot,306 XD,J,silver,45000,6200,Reliable Harry's,Clapham,0171 556 3288,aircon,S
489,Peugeot,505 L,K,blue,23000,125,Dalton Car Sales,Middlesbrough,01155 545889,VGC,NE
491,BMW,323i,K,orange,98000,12999,Prestige Vehicles,Edinburgh,0131 766 4521,3 door,N
493,BMW,840 SE,P,silver,45000,3299,Stan's Little Gems,Watford,0181 566 7900,VGC,C
494,BMW,735i,N,blue,23000,830,Swindon Used Cars,Swindon,01918 656 432,aircon,W
495,BMW,728i,R,white,109000,1299,RFG Vehicles,Felixstowe,01582 342 888,MOT,E
496,BMW,740i,S,green,98000,34000,Clark & Son,Birmingham,0121 344 2111,MOT,C
497,BMW,540i,S,black,34000,5600,Eric Mitchell Cars,Oxford,01998 675 800,VGC,W
498,BMW,735 SE,R,red,45000,3499,Gruber & Co,Crewe,01222 900 800,MOT,NW
499,BMW,730 SE,P,white,23000,2899,Spunkmeyer Cars,Canterbury,01877 540 540,VGC,SE
500,VW,Passat,G,blue,109000,3450,OTT Wheels,Barnstaple,01722 459761,aircon,SW
510,VW,Passat,G,pink,34000,4500,OTT Wheels,Barnstaple,01722 459761,VGC,SW
511,Jaguar,XJS,L,green,44000,2550,OTT Wheels,Barnstaple,1723 459761,Lady owner,SW
512,Toyota,Landcruiser,M,yellow,55000,3999,OTT Wheels,Barnstaple,1724 459761,FSH,SW
513,Mercedes,E220,R,red,88000,2550,OTT Wheels,Barnstaple,1725 459761,Stereo,SW
514,Landrover,Series I,S,grey,23000,995,OTT Wheels,Barnstaple,1726 459761,1 owner,SW
515,VW,Sirocco,R,green,34000,7500,OTT Wheels,Barnstaple,1727 459761,Any trial,SW
516,Jaguar,XJ6,S,green,33000,850,OTT Wheels,Barnstaple,1728 459761,Used daily,SW
517,Toyota,Previa,G,white,39000,899,OTT Wheels,Barnstaple,1729 459761,T&T,SW
518,Mercedes,SL500,L,red,41000,2000,OTT Wheels,Barnstaple,1730 459761,Radio,SW
519,Daewoo,Subina,M,blue,42000,1050,OTT Wheels,Barnstaple,1731 459761,Any trial,SW
520,BMW,328i,P,red,46000,1850,Spunkmeyer Cars,Canterbury,01877 540 540,Used daily,SE
521,Fiat,Punto,G,blue,57000,2000,Spunkmeyer Cars,Canterbury,1878 540 540,T&T,SE
522,Rover,Vitesse,R,white,58000,2100,Spunkmeyer Cars,Canterbury,1879 540 540,Radio,SE
523,Austin,Montego,S,green,51000,300,Spunkmeyer Cars,Canterbury,1880 540 540,VGC,SE
524,Daewoo,Subina,S,yellow,62000,550,Spunkmeyer Cars,Canterbury,1881 540 540,MOT,SE
525,BMW,328i,R,red,103000,450,Spunkmeyer Cars,Canterbury,1882 540 540,VGC,SE
526,Fiat,Punto,R,pink,93000,999,Spunkmeyer Cars,Canterbury,1883 540 540,MOT,SE
527,Rover,3500i,R,white,21000,899,Spunkmeyer Cars,Canterbury,1884 540 540,VGC,SE
528,Austin,Montego,P,grey,17000,12500,Spunkmeyer Cars,Canterbury,1885 540 540,VGC,SE
529,Daewoo,Subina,N,red,14000,13500,Spunkmeyer Cars,Canterbury,1886 540 540,5-door,SE
530,BMW,525i,L,blue,88000,15500,Spunkmeyer Cars,Canterbury,1887 540 540,Immac,SE
531,Fiat,Punto,P,white,82000,1500,Spunkmeyer Cars,Canterbury,1888 540 540,MOT,SE
532,Rover,Vitesse,N,green,49000,2500,Spunkmeyer Cars,Canterbury,1889 540 540,Lady owner,SE
533,Austin,Metro,R,yellow,40000,1750,Spunkmeyer Cars,Canterbury,1890 540 540,FSH,SE
534,Daewoo,Subina,S,red,16000,899,Spunkmeyer Cars,Canterbury,1891 540 540,Stereo,SE
535,BMW,728 SE,L,pink,13000,750,Spunkmeyer Cars,Canterbury,1892 540 540,1 owner,SE
536,Fiat,Punto,K,white,77000,750,Spunkmeyer Cars,Canterbury,1893 540 540,Any trial,SE
537,Rover,3500i,K,grey,53000,799,Spunkmeyer Cars,Canterbury,1894 540 540,Used daily,SE
538,Austin,Montego,L,red,73000,12999,Swindon Used Cars,Swindon,01918 656 432,T&T,W
539,Daewoo,Subina,P,blue,89000,1299,RFG Vehicles,Felixstowe,01582 342 888,Radio,E
540,BMW,525i,N,white,97000,6799,Clark & Son,Birmingham,0121 344 2111,VGC,C
541,Fiat,Punto,R,green,12000,5499,Eric Mitchell Cars,Oxford,01998 675 800,VGC,W
542,Rover,Vitesse,S,yellow,19000,3299,Gruber & Co,Crewe,01222 900 800,5-door,NW
543,Austin,Metro,S,red,10000,1599,Swindon Used Cars,Swindon,1919 656 432,Immac,W
544,Datsun,Sunny,R,pink,94000,17899,RFG Vehicles,Felixstowe,1583 342 888,MOT,E
545,Vauxhall,Astra,P,white,39000,7899,Clark & Son,Birmingham,122 344 2111,Lady owner,C
546,Nissan,Primera,L,grey,41000,3499,Eric Mitchell Cars,Oxford,1999 675 800,FSH,W
547,Nissan,Micra,M,red,42000,6299,Gruber & Co,Crewe,1223 900 800,Stereo,NW
