carIndex,make,model,reg,colour,miles,price,dealer,town,telephone,description,region
548,Volvo,V70,L,blue,46000,1699,Swindon Used Cars,Swindon,1919 656 432,1 owner,W
549,Nissan,Cherry,K,white,57000,18499,RFG Vehicles,Felixstowe,1583 342 888,Any trial,E
550,Mazda,323i,H,green,58000,6499,Clark & Son,Birmingham,122 344 2111,Used daily,C
551,Mazda,MR2,G,yellow,51000,8399,Eric Mitchell Cars,Oxford,1999 675 800,T&T,W
552,MG,Midget,H,red,62000,1250,Gruber & Co,Crewe,1223 900 800,Radio,NW
553,MG,Metro,K,pink,103000,7525,Swindon Used Cars,Swindon,1920 656 432,Any trial,W
554,MG,Roadster,L,white,93000,8225,RFG Vehicles,Felixstowe,1584 342 888,Used daily,E
555,Bentley,Mulsanne,P,grey,21000,6199,Clark & Son,Birmingham,123 344 2111,T&T,C
556,Bentley,Turbo,R,red,17000,7799,Swindon Used Cars,Swindon,1919 656 432,Radio,W
557,Vauxhall,Cavalier,R,blue,14000,3425,RFG Vehicles,Felixstowe,1583 342 888,Stunning,E
558,Vauxhall,Astra,S,white,88000,4500,Clark & Son,Birmingham,122 344 2111,Very fast,C
559,Vauxhall,Carlton,S,green,82000,5699,Eric Mitchell Cars,Oxford,1999 675 800,Alloys,W
560,Vauxhall,Omega,S,yellow,49000,8275,Gruber & Co,Crewe,1223 900 800,MOT,NW
561,Vauxhall,Frontera,N,red,40000,6675,Swindon Used Cars,Swindon,1920 656 432,MOT,W
562,Vauxhall,Nova,N,pink,16000,2380,RFG Vehicles,Felixstowe,1584 342 888,VGC,E
563,Vauxhall,Tigre,N,white,13000,75,Clark & Son,Birmingham,123 344 2111,MOT,C
564,Vauxhall,Cavalier,P,grey,77000,8600,Eric Mitchell Cars,Oxford,2000 675 800,VGC,W
565,Vauxhall,Vectra,M,red,53000,25,Gruber & Co,Crewe,1224 900 800,aircon,NW
566,Vauxhall,Senator,M,blue,73000,6200,Swindon Used Cars,Swindon,1920 656 432,MOT,W
567,Vauxhall,Vectra,S,white,89000,125,RFG Vehicles,Felixstowe,1584 342 888,aircon,E
568,Vauxhall,Astra,R,green,97000,790,Clark & Son,Birmingham,123 344 2111,VGC,C
569,Vauxhall,Astra,R,yellow,12000,12999,Eric Mitchell Cars,Oxford,2000 675 800,MOT,W
570,Nissan,Primera,C,red,19000,4500,Gruber & Co,Crewe,1224 900 800,MOT,NW
571,Nissan,Micra,D,pink,10000,3299,Swindon Used Cars,Swindon,1921 656 432,3 door,W
572,Volvo,V70,F,white,94000,830,RFG Vehicles,Felixstowe,1585 342 888,VGC,E
573,Nissan,Cherry,G,grey,39000,1299,Clark & Son,Birmingham,124 344 2111,MOT,C
574,Mazda,323i,H,red,41000,34000,Swindon Used Cars,Swindon,1920 656 432,VGC,W
575,Mazda,MR2,J,blue,42000,5600,RFG Vehicles,Felixstowe,1584 342 888,VGC,E
576,MG,Midget,J,white,46000,3499,Clark & Son,Birmingham,123 344 2111,aircon,C
577,MG,Metro,K,green,57000,2899,Eric Mitchell Cars,Oxford,2000 675 800,aircon,W
578,MG,Roadster,L,yellow,58000,3450,Gruber & Co,Crewe,1224 900 800,VGC,NW
579,Bentley,Mulsanne,K,red,51000,4400,Swindon Used Cars,Swindon,1921 656 432,3 door,W
580,Bentley,Turbo,L,pink,62000,4650,RFG Vehicles,Felixstowe,1585 342 888,3 door,E
581,Vauxhall,Cavalier,P,white,103000,15500,Clark & Son,Birmingham,124 344 2111,3 door,C
582,Vauxhall,Astra,N,grey,93000,13500,Eric Mitchell Cars,Oxford,2001 675 800,VGC,W
583,Vauxhall,Carlton,R,red,21000,14500,Gruber & Co,Crewe,1225 900 800,aircon,NW
584,Vauxhall,Omega,S,blue,17000,12500,Swindon Used Cars,Swindon,1921 656 432,MOT,W
585,Vauxhall,Frontera,S,white,14000,9999,RFG Vehicles,Felixstowe,1585 342 888,MOT,E
586,Vauxhall,Nova,R,green,88000,3500,Clark & Son,Birmingham,124 344 2111,VGC,C
587,Vauxhall,Tigre,P,yellow,82000,3550,Eric Mitchell Cars,Oxford,2001 675 800,MOT,W
588,Vauxhall,Cavalier,G,red,49000,4500,Gruber & Co,Crewe,1225 900 800,VGC,NW
589,Vauxhall,Vectra,L,pink,40000,2550,Swindon Used Cars,Swindon,1922 656 432,aircon,W
590,Vauxhall,Senator,M,white,16000,3999,RFG Vehicles,Felixstowe,1586 342 888,MOT,E
591,Vauxhall,Vectra,R,grey,13000,2550,Clark & Son,Birmingham,125 344 2111,aircon,C
592,Vauxhall,Astra,S,red,77000,995,Swindon Used Cars,Swindon,1921 656 432,VGC,W
593,Vauxhall,Astra,G,blue,53000,7500,The Car Shop,Chester,01344 768970,MOT,NW
594,VW,Golf,L,white,73000,850,Frank's Car Sales,Stockton,01677 434210,MOT,NE
595,VW,Jetta,M,green,89000,899,Car-U-Like,Portsmouth,01233 872222,3 door,S
596,VW,Passat,R,yellow,97000,2000,Wheels of Croydon,Croydon,0181 788 5333,VGC,S
597,VW,Golf,S,red,12000,1050,Bristol Motors,Bristol,0117 455 3211,MOT,W
598,VW,Polo,G,pink,19000,1850,McGovern's Cars,Glasgow,0141 544 9519,VGC,N
599,VW,Golf,L,white,10000,2000,Reliable Harry's,Clapham,0171 556 3288,VGC,S
600,VW,Polo,M,grey,94000,2100,Dalton Car Sales,Middlesbrough,01155 545889,Lady owner,NE
602,Renault,Clio,S,blue,41000,550,Prestige Vehicles,Edinburgh,0131 766 4521,Stereo,N
604,Renault,Laguna,S,green,46000,999,Stan's Little Gems,Watford,0181 566 7900,Any trial,C
605,Renault,Clio,G,yellow,57000,899,Swindon Used Cars,Swindon,01918 656 432,Used daily,W
606,Renault,Megane,L,red,58000,12500,The Car Shop,Chester,1345 768970,T&T,NW
607,Renault,Clio,M,pink,51000,13500,Frank's Car Sales,Stockton,1678 434210,Radio,NE
608,Renault,Safrane,P,white,62000,15500,Car-U-Like,Portsmouth,1234 872222,Any trial,S
609,Renault,Laguna,G,grey,103000,1500,Wheels of Croydon,Croydon,182 788 5333,Used daily,S
610,Renault,Clio,R,red,93000,2500,Bristol Motors,Bristol,118 455 3211,T&T,W
611,VW,Golf,S,blue,21000,1750,McGovern's Cars,Glasgow,142 544 9519,Radio,N
612,VW,Jetta,S,white,17000,899,Reliable Harry's,Clapham,172 556 3288,VGC,S
613,VW,Passat,R,green,14000,750,Dalton Car Sales,Middlesbrough,1156 545889,MOT,NE
615,VW,Polo,R,red,82000,799,Prestige Vehicles,Edinburgh,132 766 4521,MOT,N
617,VW,Polo,N,white,40000,1299,Stan's Little Gems,Watford,182 566 7900,VGC,C
618,Peugeot,205 XE,L,grey,16000,6799,Swindon Used Cars,Swindon,1919 656 432,5-door,W
619,Peugeot,306 XL,P,red,13000,5499,The Car Shop,Chester,1346 768970,Immac,NW
620,Peugeot,205 D,N,blue,77000,3299,Frank's Car Sales,Stockton,1679 434210,MOT,NE
621,Peugeot,205 GTI,R,white,53000,1599,Car-U-Like,Portsmouth,1235 872222,Lady owner,S
622,Peugeot,405 GT,S,green,73000,17899,Wheels of Croydon,Croydon,183 788 5333,FSH,S
623,Peugeot,605 XS,L,yellow,89000,7899,Bristol Motors,Bristol,119 455 3211,Stereo,W
624,Peugeot,306 XD,K,red,97000,3499,McGovern's Cars,Glasgow,143 544 9519,1 owner,N
625,Peugeot,505 L,K,pink,12000,6299,Reliable Harry's,Clapham,173 556 3288,Any trial,S
626,Peugeot,106 XL,L,white,19000,1699,Dalton Car Sales,Middlesbrough,1157 545889,Used daily,NE
628,Mercedes,Kompressor,N,red,94000,6499,Prestige Vehicles,Edinburgh,133 766 4521,Radio,N
630,Mercedes,SL500,S,white,22500,1250,Stan's Little Gems,Watford,183 566 7900,VGC,C
631,Mercedes,A200,S,green,35500,7525,Swindon Used Cars,Swindon,1920 656 432,5-door,W
632,Mercedes,C320,R,yellow,12500,8225,The Car Shop,Chester,1347 768970,Immac,NW
633,Mercedes,C220,P,red,12000,6199,Frank's Car Sales,Stockton,1680 434210,MOT,NE
634,Peugeot,205 XE,L,pink,22500,7799,Car-U-Like,Portsmouth,1236 872222,Lady owner,S
635,Peugeot,306 XL,M,white,65500,3425,Wheels of Croydon,Croydon,184 788 5333,FSH,S
636,Peugeot,205 D,L,grey,12400,4500,Bristol Motors,Bristol,120 455 3211,Stereo,W
637,Peugeot,205 GTI,K,red,26500,5699,McGovern's Cars,Glasgow,144 544 9519,1 owner,N
638,Peugeot,405 GT,H,red,32500,8275,Reliable Harry's,Clapham,174 556 3288,Any trial,S
639,Peugeot,605 XS,G,white,24500,6675,Dalton Car Sales,Middlesbrough,1158 545889,Used daily,NE
641,Peugeot,505 L,K,lemon,45600,75,Prestige Vehicles,Edinburgh,134 766 4521,Radio,N
643,VW,Passat,P,green,33000,25,Stan's Little Gems,Watford,184 566 7900,Used daily,C
644,Jaguar,XJS,R,silver,23000,6200,Swindon Used Cars,Swindon,1921 656 432,T&T,W
645,Toyota,Landcruiser,R,blue,15000,125,The Car Shop,Chester,1348 768970,Radio,NW
646,Mercedes,E220,S,white,65500,790,Frank's Car Sales,Stockton,1681 434210,Stunning,NE
647,Landrover,Discovery,S,red,12400,12999,Car-U-Like,Portsmouth,1237 872222,Very fast,S
648,VW,Passat,S,green,26500,4500,Wheels of Croydon,Croydon,185 788 5333,Alloys,S
649,Jaguar,XJS,N,silver,32500,3299,Bristol Motors,Bristol,121 455 3211,MOT,W
650,Toyota,Landcruiser,N,blue,24500,830,McGovern's Cars,Glasgow,145 544 9519,MOT,N
651,Mercedes,E220,N,white,95500,1299,Reliable Harry's,Clapham,175 556 3288,VGC,S
652,Landrover,Discovery,P,red,45600,34000,Dalton Car Sales,Middlesbrough,1159 545889,MOT,NE
654,Jaguar,XJS,M,silver,33000,3499,Prestige Vehicles,Edinburgh,135 766 4521,aircon,N
656,Mercedes,E220,R,white,15000,2380,Stan's Little Gems,Watford,185 566 7900,aircon,C
657,Landrover,Series I,R,red,76900,75,Swindon Used Cars,Swindon,1922 656 432,VGC,W
658,VW,Sirocco,C,black,45000,8600,The Car Shop,Chester,1349 768970,MOT,NW
659,Jaguar,XJ6,D,bronze,23000,25,Frank's Car Sales,Stockton,1682 434210,MOT,NE
660,Toyota,Previa,F,yellow,109000,6200,The Car Shop,Chester,1345 768970,3 door,NW
661,Mercedes,SL500,G,orange,98000,125,Frank's Car Sales,Stockton,1678 434210,VGC,NE
662,Daewoo,Subina,H,gold,34000,790,Car-U-Like,Portsmouth,1234 872222,MOT,S
663,BMW,328i,J,red,45000,12999,Wheels of Croydon,Croydon,182 788 5333,VGC,S
664,Fiat,Punto,J,green,23000,4500,Bristol Motors,Bristol,118 455 3211,VGC,W
665,Rover,Vitesse,K,silver,109000,3299,McGovern's Cars,Glasgow,142 544 9519,aircon,N
666,Austin,Montego,L,blue,98000,830,Reliable Harry's,Clapham,172 556 3288,aircon,S
667,Daewoo,Subina,K,white,34000,1299,Dalton Car Sales,Middlesbrough,1156 545889,VGC,NE
669,Fiat,Punto,P,lemon,23000,5600,Prestige Vehicles,Edinburgh,132 766 4521,3 door,N
671,Austin,Montego,R,green,98000,2899,Stan's Little Gems,Watford,182 566 7900,VGC,C
672,Daewoo,Subina,S,silver,34000,3450,Swindon Used Cars,Swindon,1919 656 432,aircon,W
673,BMW,525i,S,blue,56000,4400,The Car Shop,Chester,1346 768970,MOT,NW
674,Fiat,Punto,R,white,34000,4650,Frank's Car Sales,Stockton,1679 434210,MOT,NE
675,Rover,Vitesse,P,red,44000,15500,Car-U-Like,Portsmouth,1235 872222,VGC,S
676,Austin,Metro,G,green,55000,13500,Wheels of Croydon,Croydon,183 788 5333,MOT,S
677,Daewoo,Subina,L,silver,66000,14500,Bristol Motors,Bristol,119 455 3211,VGC,W
678,BMW,728 SE,M,blue,34000,12500,McGovern's Cars,Glasgow,143 544 9519,aircon,N
679,Fiat,Punto,R,white,56000,9999,Reliable Harry's,Clapham,173 556 3288,MOT,S
680,Rover,3500i,S,red,34000,3500,Dalton Car Sales,Middlesbrough,1157 545889,aircon,NE
682,Daewoo,Subina,L,silver,55000,4500,Prestige Vehicles,Edinburgh,133 766 4521,MOT,N
684,Fiat,Punto,R,lemon,23000,3999,Stan's Little Gems,Watford,183 566 7900,3 door,C
685,Rover,Vitesse,S,orange,34000,2550,Swindon Used Cars,Swindon,1920 656 432,VGC,W
686,Austin,Metro,G,green,33000,995,The Car Shop,Chester,1347 768970,MOT,NW
687,Datsun,Sunny,L,silver,39000,7500,Frank's Car Sales,Stockton,1680 434210,VGC,NE
688,Vauxhall,Astra,M,blue,41000,850,Hudson Used Cars,Clacton on Sea,01255 423161,VGC,E
689,Nissan,Primera,R,white,42000,899,Cars R Us,Kingsbridge,01548 531817,aircon,W
690,Nissan,Micra,S,green,46000,2000,Off Road Sales,Torquay,01803 323014,aircon,SW
691,Volvo,V70,R,black,57000,1050,Rook Used Cars,Exeter,01392 460753,VGC,SW
692,Nissan,Cherry,S,red,58000,1850,South West Cars,Plymouth,01752 561797,3 door,SW
693,Mazda,323i,G,white,51000,2000,Rook Used Cars,Exeter,01392 460753,3 door,SW
694,Mazda,MR2,L,blue,62000,2100,Hansen,Torquay,01803 882597,3 door,SW
695,MG,Midget,M,red,103000,300,Weldit Used Cars,Inverness,01463 741514,VGC,N
696,MG,Metro,P,pale blue,93000,550,Bodgit Quality Cars,Southport,01704 567854,aircon,NW
697,MG,Roadster,G,blue,21000,2380,Sports Cars,Nottingham,01158 678954,MOT,C
698,Bentley,Mulsanne,R,grey,17000,75,Sports Cars,Nottingham,01158 678954,MOT,C
699,Bentley,Turbo,S,yellow,14000,8600,GMV ltd,Gloucester,01452 732145,VGC,W
700,Vauxhall,Cavalier,S,black,88000,25,Weldit Used Cars,Inverness,01463 741514,MOT,N
701,Vauxhall,Astra,R,red,82000,6200,Tidy Cars,Peterborough,01733 231456,VGC,E
702,Vauxhall,Carlton,R,grey,49000,125,Hudson Used Cars,Clacton on Sea,01255 423161,aircon,E
703,Vauxhall,Omega,R,blue,40000,790,Bodgit Quality Cars,Southport,01704 567854,MOT,NW
704,Vauxhall,Frontera,P,pink,16000,12999,Prestige Carriages,Tunbridge Wells,01892 531248,aircon,SE
705,Vauxhall,Nova,N,green,13000,4500,Futter's Farm Vehicles,Kings Lynn,01533 778965,VGC,E
706,Vauxhall,Tigre,L,yellow,77000,3299,Skye Wheels,Portree,01487 456321,MOT,N
707,Vauxhall,Cavalier,P,red,53000,830,Fixitt Car Dealers,Portree,01478 576894,MOT,N
708,Vauxhall,Vectra,N,grey,73000,1299,Tidy Cars,Peterborough,01733 231456,3 door,E
709,Vauxhall,Senator,R,green,89000,34000,Tidy Cars,Peterborough,01733 231456,VGC,E
710,Vauxhall,Vectra,S,green,97000,5600,Stephenson Ltd,Chelmsford,01245 678954,MOT,E
711,Vauxhall,Astra,L,white,12000,3499,Fixitt Car Dealers,Portree,01478 576894,VGC,N
712,Vauxhall,Astra,K,red,19000,2899,Weldit Used Cars,Inverness,01463 741514,VGC,N
713,Nissan,Primera,K,blue,10000,3450,Tidy Cars,Peterborough,01733 231456,aircon,E
714,Nissan,Micra,L,red,94000,4400,Hudson Used Cars,Clacton on Sea,01255 423161,aircon,E
715,Volvo,V70,P,blue,39000,4650,Bodgit Quality Cars,Southport,01704 567854,VGC,NW
716,Nissan,Cherry,N,white,41000,15500,Prestige Carriages,Tunbridge Wells,01892 531248,3 door,SE
717,Mazda,323i,R,green,42000,13500,Futter's Farm Vehicles,Kings Lynn,01533 778965,3 door,E
718,Mazda,MR2,S,yellow,46000,14500,Skye Wheels,Portree,01487 456321,3 door,N
719,MG,Midget,S,red,57000,12500,Fixitt Car Dealers,Portree,01478 576894,VGC,N
720,MG,Metro,R,pink,58000,9999,Tidy Cars,Peterborough,01733 231456,aircon,E
721,MG,Roadster,P,white,51000,3500,Tidy Cars,Peterborough,01733 231456,MOT,E
722,Bentley,Mulsanne,L,grey,62000,3550,Stephenson Ltd,Chelmsford,01245 678954,MOT,E
723,Bentley,Turbo,M,red,103000,4500,Fixitt Car Dealers,Portree,01478 576894,VGC,N
724,Vauxhall,Cavalier,L,blue,93000,2550,Hudson Used Cars,Clacton on Sea,01255 423161,MOT,E
725,Vauxhall,Astra,K,white,21000,3999,South West Cars,Plymouth,01752 561797,VGC,SW
726,Vauxhall,Carlton,H,green,17000,2550,Off Road Sales,Torquay,01803 323014,aircon,SW
727,Vauxhall,Omega,G,yellow,14000,995,Rook Used Cars,Exeter,01392 460753,MOT,SW
728,Vauxhall,Frontera,H,red,88000,7500,Hansen,Torquay,01803 882597,aircon,SW
729,Vauxhall,Nova,K,pink,82000,850,Rook Used Cars,Exeter,01392 460753,VGC,SW
730,Vauxhall,Tigre,L,white,49000,899,Stephenson Ltd,Chelmsford,01245 678546,MOT,E
731,Vauxhall,Cavalier,P,grey,40000,2000,Sports Cars,Nottingham,01158 678954,MOT,C
732,Vauxhall,Vectra,R,red,16000,1050,Sports Cars,Nottingham,01158 678954,3 door,C
733,Vauxhall,Senator,R,blue,13000,1850,Daves Used Cars,Gravesend,01474 876098,VGC,SE
734,Vauxhall,Vectra,S,white,77000,2000,Wrights Quality Cars,Liverpool,01514 567843,MOT,NW
735,Vauxhall,Astra,S,green,53000,2100,Nixons Used Autos,Liverpool,01514 561235,VGC,NW
736,Vauxhall,Astra,S,yellow,73000,300,Daves Used Cars,Gravesend,01474 876098,VGC,SE
737,VW,Golf,N,red,89000,550,Wrights Quality Cars,Liverpool,01514 567843,aircon,NW
738,VW,Jetta,N,pink,97000,2380,Nixons Used Autos,Liverpool,01514 561235,aircon,NW
739,VW,Passat,N,white,12000,75,Daves Used Cars,Gravesend,01474 876098,VGC,SE
740,VW,Golf,P,grey,19000,8600,Wrights Quality Cars,Liverpool,01514 567843,3 door,NW
741,VW,Polo,M,red,10000,25,Nixons Used Autos,Liverpool,01514 561235,3 door,NW
742,VW,Golf,M,blue,94000,6200,Acme Autos,Colchester,01206 452345,3 door,E
743,VW,Polo,S,white,39000,125,Acme Autos,Colchester,01206 452345,VGC,E
744,Renault,Megane,R,green,41000,790,University Motors,Cambridge,01223 768956,aircon,C
745,Renault,Clio,R,yellow,42000,12999,University Motors,Cambridge,01223 768956,MOT,C
746,Renault,Safrane,C,red,46000,4500,Smith Autos,Cambridge,01223 654318,MOT,C
747,Renault,Laguna,D,pink,57000,3299,Station Cars,Manchester,01617 453678,VGC,NW
748,Renault,Clio,F,white,58000,830,Station Cars,Manchester,1618 453678,MOT,NW
749,Renault,Megane,G,grey,51000,1299,Smith Autos,Cambridge,01223 654318,VGC,C
750,Renault,Clio,H,red,62000,34000,Daves Used Cars,Gravesend,01474 876098,aircon,SE
751,Renault,Safrane,J,blue,103000,5600,Wrights Quality Cars,Liverpool,01514 567843,MOT,NW
752,Renault,Laguna,J,white,93000,3499,Nixons Used Autos,Liverpool,01514 561235,aircon,NW
753,Renault,Clio,K,green,21000,2899,Daves Used Cars,Gravesend,01474 876098,VGC,SE
754,VW,Golf,L,yellow,17000,3450,Wrights Quality Cars,Liverpool,01514 567843,MOT,NW
755,VW,Jetta,K,red,14000,4400,Nixons Used Autos,Liverpool,01514 561235,MOT,NW
756,VW,Passat,L,pink,88000,4650,Daves Used Cars,Gravesend,01474 876098,3 door,SE
757,VW,Golf,P,white,82000,15500,Wrights Quality Cars,Liverpool,01514 567843,VGC,NW
758,VW,Polo,N,grey,49000,13500,Nixons Used Autos,Liverpool,01514 561235,MOT,NW
759,VW,Golf,R,red,40000,14500,Acme Autos,Colchester,01206 452345,VGC,E
760,VW,Polo,S,blue,16000,12500,Acme Autos,Colchester,01206 452345,VGC,E
761,Peugeot,205 XE,S,white,13000,9999,University Motors,Cambridge,01223 768956,aircon,C
762,Peugeot,306 XL,R,green,77000,3500,University Motors,Cambridge,01223 768956,aircon,C
763,Peugeot,205 D,P,yellow,53000,3550,Smith Autos,Cambridge,01223 654318,VGC,C
764,Peugeot,205 GTI,S,red,73000,4500,Station Cars,Manchester,01617 453678,3 door,NW
765,Peugeot,405 GT,S,pink,89000,2550,Station Cars,Manchester,1618 453678,3 door,NW
766,Peugeot,605 XS,R,white,97000,3999,Smith Autos,Cambridge,01223 654318,3 door,C
767,Peugeot,306 XD,R,grey,12000,2550,Smith Autos,Cambridge,01223 654318,VGC,C
768,Peugeot,505 L,R,red,19000,995,Daves Used Cars,Gravesend,01474 876098,aircon,SE
769,Peugeot,106 XL,P,blue,10000,7500,Wrights Quality Cars,Liverpool,01514 567843,MOT,NW
770,Mercedes,E320,N,white,94000,850,Nixons Used Autos,Liverpool,01514 561235,MOT,NW
771,Mercedes,Kompressor,L,green,39000,899,Daves Used Cars,Gravesend,01474 876098,VGC,SE
772,Mercedes,SL300,P,yellow,41000,2000,Wrights Quality Cars,Liverpool,01514 567843,MOT,NW
773,Mercedes,SL500,N,red,42000,1050,Nixons Used Autos,Liverpool,01514 561235,VGC,NW
774,Mercedes,A200,R,pink,46000,1850,Daves Used Cars,Gravesend,01474 876098,aircon,SE
775,Mercedes,C320,S,white,57000,2000,Wrights Quality Cars,Liverpool,01514 567843,MOT,NW
776,Mercedes,C220,L,grey,58000,2100,Nixons Used Autos,Liverpool,01514 561235,aircon,NW
777,Peugeot,205 XE,K,red,51000,300,Acme Autos,Colchester,01206 452345,VGC,E
778,Peugeot,306 XL,K,blue,62000,550,Acme Autos,Colchester,01206 452345,MOT,E
779,Peugeot,205 D,L,white,103000,2380,University Motors,Cambridge,01223 768956,MOT,C
780,Peugeot,205 GTI,P,green,93000,75,University Motors,Cambridge,01223 768956,3 door,C
781,Peugeot,405 GT,N,yellow,21000,8600,Smith Autos,Cambridge,01223 654318,VGC,C
782,Peugeot,605 XS,R,red,17000,25,Weldit Used Cars,Inverness,01463 741514,MOT,N
783,Peugeot,306 XD,S,pink,14000,6200,Tidy Cars,Peterborough,01733 231456,VGC,E
784,Peugeot,505 L,S,white,88000,125,Hudson Used Cars,Clacton on Sea,01255 423161,VGC,E
785,Peugeot,106 XL,R,grey,82000,790,Bodgit Quality Cars,Southport,01704 567854,aircon,NW
786,Isuzu,Trooper,P,red,49000,12999,Weldit Used Cars,Inverness,01463 741514,aircon,N
787,Jeep,Cherokee,L,blue,40000,4500,Tidy Cars,Peterborough,01733 231456,VGC,E
788,Jeep,Cherokee,M,white,16000,3299,Hudson Used Cars,Clacton on Sea,01255 423161,3 door,E
789,Kia,Pride,L,green,13000,830,Bodgit Quality Cars,Southport,01704 567854,3 door,NW
790,Kia,Pride,K,yellow,77000,1299,Port Erin,Isle of Man,01624 453678,3 door,NW
791,Kia,Pride,H,red,53000,34000,Weldit Used Cars,Inverness,01463 741514,VGC,N
792,Kia,Pride,G,pink,73000,5600,Tidy Cars,Peterborough,01733 231456,aircon,E
793,Lexus,LS 400,H,white,89000,3499,Hudson Used Cars,Clacton on Sea,01255 423161,MOT,E
794,Lexus,LS400,K,grey,97000,2899,Bodgit Quality Cars,Southport,01704 567854,MOT,NW
795,Lotus,Elan,L,red,12000,3450,Fixitt Car Dealers,Portree,01478 576894,VGC,N
796,Lotus,Elite,P,blue,19000,4400,Tidy Cars,Peterborough,01733 231456,MOT,E
797,Lotus,Eclat,R,white,10000,4650,Tidy Cars,Peterborough,01733 231456,VGC,E
798,VW,Golf Gti,R,green,94000,15500,Fixitt Car Dealers,Portree,01478 576894,aircon,N
799,VW,Passat,S,yellow,8500,13500,Hudson Used Cars,Clacton on Sea,01255 423161,MOT,E
800,Daewoo,Espero,S,red,22500,14500,Off Road Sales,Torquay,01803 323014,aircon,W
801,Daewoo,Nexia,S,pink,35500,12500,Rook Used Cars,Exeter,01392 460753,VGC,SW
802,Daewoo,Nexia,N,white,12500,9999,Rook Used Cars,Exeter,01392 460753,MOT,SW
803,VW,Polo,N,grey,12000,3500,Sports Cars,Nottingham,01158 678954,MOT,C
804,Volvo,360,N,red,22500,3550,Sports Cars,Nottingham,01158 678954,3 door,C
805,Volvo,850,P,blue,65500,4500,Daves Used Cars,Gravesend,01474 876098,VGC,SE
806,Vauxhall,Corsa,M,white,12400,2550,Wrights Quality Cars,Liverpool,01514 567843,MOT,NW
807,Vauxhall,Cavalier,M,green,26500,3999,Nixons Used Autos,Liverpool,01514 561235,VGC,NW
808,Vauxhall,Cavalier,S,yellow,32500,2550,Daves Used Cars,Gravesend,01474 876098,VGC,SE
809,Vauxhall,Corsa,R,red,24500,995,Wrights Quality Cars,Liverpool,01514 567843,aircon,NW
810,Ford,Escort,R,pink,95500,7500,Nixons Used Autos,Liverpool,01514 561235,aircon,NW
811,Ford,Escort,C,white,45600,850,Daves Used Cars,Gravesend,01474 876098,VGC,SE
